Handle,Title,Vendor,Product Category,Type,Tags,Published,Variant SKU,Variant Grams,Variant Price,Variant Taxable,Variant Requires Shipping,Status,Note,linked_species (metafield jm.linked_species)
chaga-mushroom-elixir-combo-50ml-30ml,Chaga + Elixir of Life Combo (50 ml + 30 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Tincture combo,"form:combo, species:chaga, species:lions-mane, species:reishi, species:cordyceps, species:turkey-tail, species:tremella, audience:people, kingdom:fungi",TRUE,JM-COMBO-CHA,220,550.00,TRUE,TRUE,active,Original SKU: chaga-combo01health | original taxable: True | title was: Chaga Mushroom Elixir Combo (50ml+30ml),chaga;lions-mane;reishi;cordyceps;turkey-tail;tremella
chaga-mushroom-tincture-30ml,Chaga Mushroom Tincture (30 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Tincture,"form:single, species:chaga, audience:people, kingdom:fungi",TRUE,JM-CHA-30,90,255.00,TRUE,TRUE,active,Original SKU: Detox001 | original taxable: True | title was: Chaga Mushroom Tincture (30ml),chaga
cordyceps-mushroom-elixir-combo-50ml-30ml,Cordyceps + Elixir of Life Combo (50 ml + 30 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Tincture combo,"form:combo, species:cordyceps, species:lions-mane, species:reishi, species:chaga, species:turkey-tail, species:tremella, audience:people, kingdom:fungi",TRUE,JM-COMBO-COR,220,550.00,TRUE,TRUE,active,Original SKU: cordyceps-combo01health | original taxable: True | title was: Cordyceps Mushroom Elixir Combo (50ml+30ml),cordyceps;lions-mane;reishi;chaga;turkey-tail;tremella
cordyceps-mushroom-tincture-30ml,Cordyceps Mushroom Tincture (30 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Tincture,"form:single, species:cordyceps, audience:people, kingdom:fungi",TRUE,JM-COR-30,90,255.00,TRUE,TRUE,active,Original SKU: Energise01 | original taxable: True | title was: Cordyceps Mushroom Tincture (30ml),cordyceps
elixir-for-pets-tincture-30ml,Elixir for Pets Tincture (30 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Pet tincture,"form:single, species:reishi, species:turkey-tail, audience:pets, kingdom:fungi",TRUE,JM-PET-30,90,255.00,TRUE,TRUE,active,Original SKU: PetHealth01 | original taxable: True | title was: ELIXIR For Pets Tincture (30ml),reishi;turkey-tail
elixir-of-life-6-mushroom-blend-50ml,Elixir of Life 6-Mushroom Blend (50 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Tincture,"form:blend, species:lions-mane, species:reishi, species:chaga, species:cordyceps, species:turkey-tail, species:tremella, audience:people, kingdom:fungi",TRUE,JM-EOL-50,130,380.00,TRUE,TRUE,active,Original SKU:  | original taxable: False | title was: Elixir of life 6 Mushroom Blend (50ml),lions-mane;reishi;chaga;cordyceps;turkey-tail;tremella
extreme-gut-fix,Extreme Gut Blend (50 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Tincture,"form:blend, species:lions-mane, species:chaga, species:turkey-tail, audience:people, kingdom:fungi",TRUE,JM-GUT-50,130,360.00,TRUE,TRUE,active,Original SKU:  | original taxable: False | title was: Extreme Gut Fix 50ml,lions-mane;chaga;turkey-tail
lions-mane-mushroom-elixir-combo-50ml-30ml,Lion's Mane + Elixir of Life Combo (50 ml + 30 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Tincture combo,"form:combo, species:lions-mane, species:reishi, species:chaga, species:cordyceps, species:turkey-tail, species:tremella, audience:people, kingdom:fungi",TRUE,JM-COMBO-LM,220,550.00,TRUE,TRUE,active,Original SKU: lionsmane-combo01health | original taxable: True | title was: Lions Mane Mushroom Elixir Combo (50ml+30ml),lions-mane;reishi;chaga;cordyceps;turkey-tail;tremella
lions-mane-mushroom-tincture-30ml,Lion's Mane Mushroom Tincture (30 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Tincture,"form:single, species:lions-mane, audience:people, kingdom:fungi",TRUE,JM-LM-30,90,255.00,TRUE,TRUE,active,Original SKU: Cognitive01 | original taxable: True | title was: Lions Mane Mushroom Tincture (30ml),lions-mane
lions-mane-mushroom-tincture-50ml,Lion's Mane Mushroom Tincture (50 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Tincture,"form:single, species:lions-mane, audience:people, kingdom:fungi",TRUE,JM-LM-50,130,360.00,TRUE,TRUE,active,Original SKU: brainpower | original taxable: True | title was: Lions Mane Mushroom Tincture (50ml),lions-mane
menopause-50ml,Meno'pause Blend (50 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Tincture,"form:blend, species:lions-mane, species:reishi, species:cordyceps, audience:people, kingdom:fungi",TRUE,JM-MENO-50,130,360.00,TRUE,TRUE,active,Original SKU:  | original taxable: False | title was: Meno'pause' 50ml,lions-mane;reishi;cordyceps
myco-radiance-skin-perfection,Myco-Radiance Blend (50 ml),Just Mushrooms,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Tincture,"form:blend, species:tremella, species:reishi, species:chaga, species:shiitake, audience:people, kingdom:fungi",TRUE,JM-RAD-50,130,360.00,TRUE,TRUE,active,Original SKU: None | original taxable: True | title was: Myco-Radiance 'skin perfection' 50ml,tremella;reishi;chaga;shiitake
